,projects,precision,recall,f1,mcc,auc
0,bcel,0.2727,0.2,0.2308,0.2009,0.5866
1,codec,0.6,0.1364,0.2222,0.2431,0.5613
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.0909,0.0357,0.0513,0.0455,0.5143
4,dbcp,0.5,0.1111,0.1818,0.1979,0.5488
5,digester,0.5,0.0667,0.1176,0.1702,0.5317
6,fileupload,0.4444,0.1667,0.2424,0.2341,0.5737
7,mavendp,0.5,0.1818,0.2667,0.2918,0.5887
8,net,0.75,0.2143,0.3333,0.3899,0.6057
9,pool,0.6556,0.6556,0.6556,0.6261,0.813
