,projects,precision,recall,f1,mcc,auc
0,bcel,0.0,0.0,0.0,-0.0255,0.4933
1,codec,0.8,0.1818,0.2963,0.347,0.5874
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.1111,0.0357,0.0541,0.0527,0.5151
4,dbcp,1.0,0.1111,0.2,0.3167,0.5556
5,digester,0.0,0.0,0.0,0.0,0.5
6,fileupload,0.3636,0.1667,0.2286,0.2014,0.5699
7,mavendp,0.2857,0.1818,0.2222,0.213,0.5853
8,net,0.75,0.2143,0.3333,0.3899,0.6057
9,pool,0.6081,0.5,0.5488,0.5171,0.7362
