,projects,precision,recall,f1,mcc,auc
0,bcel,0.2222,0.1333,0.1667,0.1404,0.5549
1,codec,0.6471,0.25,0.3607,0.3527,0.6146
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.2,0.0357,0.0606,0.0773,0.5165
4,dbcp,0.5,0.3333,0.4,0.3515,0.6464
5,digester,1.0,0.0667,0.125,0.2526,0.5333
6,fileupload,0.4286,0.25,0.3158,0.2817,0.6096
7,mavendp,0.0,0.0,0.0,-0.0147,0.4955
8,net,0.6667,0.1429,0.2353,0.2976,0.57
9,pool,0.6235,0.5889,0.6057,0.5733,0.7792
