,projects,precision,recall,f1,mcc,auc
0,bcel,0.0714,0.1333,0.093,0.0345,0.523
1,codec,0.1429,0.1818,0.16,0.0142,0.5079
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.0625,0.0714,0.0667,0.0472,0.5252
4,dbcp,0.0,0.0,0.0,0.0,0.5
5,digester,0.0,0.0,0.0,-0.0326,0.4887
6,fileupload,0.0,0.0,0.0,0.0,0.5
7,mavendp,0.0556,0.0909,0.069,0.0417,0.5265
8,net,0.1,0.1429,0.1176,0.0765,0.5453
9,pool,0.0238,0.0111,0.0152,-0.0399,0.4861
