,projects,precision,recall,f1,mcc,auc
0,bcel,0.0484,1.0,0.0923,0.0221,0.505
1,codec,0.1288,0.9545,0.227,-0.0665,0.4859
2,collections,0.0031,1.0,0.0062,0.0,0.5
3,configuration,0.0193,1.0,0.0378,0.0,0.5
4,dbcp,0.1084,1.0,0.1957,0.0,0.5
5,digester,0.0462,1.0,0.0882,0.0,0.5
6,fileupload,0.0845,1.0,0.1558,0.0,0.5
7,mavendp,0.024,1.0,0.0468,0.0,0.5
8,net,0.039,1.0,0.0751,0.0,0.5
9,pool,0.0789,1.0,0.1462,0.0,0.5
