,projects,precision,recall,f1,mcc,auc
0,bcel,0.0509,0.9333,0.0966,0.0376,0.5287
1,codec,0.1538,0.7273,0.254,0.0827,0.5591
2,collections,0.0036,1.0,0.0073,0.0236,0.5761
3,configuration,0.0191,0.7143,0.0372,-0.0022,0.4964
4,dbcp,0.0984,0.6667,0.1714,-0.0539,0.4617
5,digester,0.0445,0.8667,0.0847,-0.0232,0.4833
6,fileupload,0.0724,0.4583,0.125,-0.0468,0.458
7,mavendp,0.0281,0.9091,0.0545,0.0501,0.5684
8,net,0.0383,0.8571,0.0734,-0.0089,0.4923
9,pool,0.0798,0.6444,0.142,0.0044,0.504
