,projects,precision,recall,f1,mcc,auc
0,bcel,0.0432,0.2,0.071,-0.0121,0.4882
1,codec,0.0,0.0,0.0,-0.0133,0.4992
2,collections,0.0,0.0,0.0,-0.0077,0.4938
3,configuration,0.0273,0.0484,0.0349,0.0081,0.5054
4,dbcp,0.0667,0.0667,0.0667,-0.0267,0.4867
5,digester,0.0,0.0,0.0,-0.0449,0.479
6,fileupload,1.0,0.025,0.0488,0.1526,0.5125
7,mavendp,0.0,0.0,0.0,-0.0446,0.4539
8,net,1.0,0.0323,0.0625,0.1758,0.5161
9,pool,0.2545,0.08,0.1217,0.105,0.5303
