,projects,precision,recall,f1,mcc,auc
0,bcel,0.0482,0.1333,0.0708,0.0004,0.5003
1,codec,0.0,0.0,0.0,0.0,0.5
2,collections,0.0278,0.3333,0.0513,0.0826,0.6394
3,configuration,0.0,0.0,0.0,-0.011,0.4972
4,dbcp,0.25,0.1333,0.1739,0.1249,0.5467
5,digester,0.0,0.0,0.0,-0.0289,0.4911
6,fileupload,0.0,0.0,0.0,-0.0116,0.4991
7,mavendp,0.0278,0.0556,0.037,0.0119,0.5083
8,net,0.0,0.0,0.0,-0.0321,0.4884
9,pool,0.3077,0.0686,0.1121,0.1145,0.5279
