,projects,precision,recall,f1,mcc,auc
0,bcel,0.0,0.0,0.0,-0.0477,0.4773
1,codec,0.0,0.0,0.0,-0.0692,0.4782
2,collections,0.0,0.0,0.0,-0.0134,0.4813
3,configuration,0.0238,0.0161,0.0192,0.0021,0.5009
4,dbcp,0.0,0.0,0.0,-0.043,0.49
5,digester,0.0233,0.0333,0.0274,-0.029,0.4828
6,fileupload,0.0,0.0,0.0,-0.0116,0.4991
7,mavendp,0.0,0.0,0.0,-0.0156,0.4939
8,net,0.0,0.0,0.0,-0.0252,0.4927
9,pool,0.1319,0.0686,0.0902,0.0422,0.5155
