,projects,precision,recall,f1,mcc,auc
0,bcel,0.0,0.0,0.0,-0.124,0.3773
1,codec,0.0,0.0,0.0,-0.0133,0.4992
2,collections,0.0,0.0,0.0,-0.0047,0.4977
3,configuration,0.0,0.0,0.0,-0.0148,0.4949
4,dbcp,0.0833,0.0667,0.0741,-0.0074,0.4967
5,digester,0.0,0.0,0.0,-0.0326,0.4887
6,fileupload,0.0,0.0,0.0,0.0,0.5
7,mavendp,0.0235,0.1111,0.0388,0.009,0.5094
8,net,1.0,0.0323,0.0625,0.1758,0.5161
9,pool,0.1905,0.0686,0.1008,0.072,0.5222
