,projects,precision,recall,f1,mcc,auc
0,bcel,0.0133,0.0667,0.0222,-0.0911,0.409
1,codec,0.0,0.0,0.0,0.0,0.5
2,collections,0.0,0.0,0.0,-0.0151,0.4766
3,configuration,0.0,0.0,0.0,-0.0156,0.4944
4,dbcp,1.0,0.0667,0.125,0.2469,0.5333
5,digester,0.0,0.0,0.0,-0.0086,0.4992
6,fileupload,1.0,0.025,0.0488,0.1526,0.5125
7,mavendp,0.0,0.0,0.0,-0.0452,0.4528
8,net,0.1111,0.0323,0.05,0.0377,0.5103
9,pool,0.3333,0.0571,0.0976,0.1113,0.5238
