,projects,precision,recall,f1,mcc,auc
0,bcel,0.0,0.0,0.0,-0.018,0.4966
1,codec,0.0,0.0,0.0,0.0,0.5
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.0,0.0,0.0,0.0,0.5
4,dbcp,0.0,0.0,0.0,0.0,0.5
5,digester,0.0,0.0,0.0,0.0,0.5
6,fileupload,0.0,0.0,0.0,0.0,0.5
7,mavendp,0.0,0.0,0.0,0.0,0.5
8,net,0.0,0.0,0.0,0.0,0.5
9,pool,0.6667,0.3333,0.4444,0.4419,0.6595
