,projects,precision,recall,f1,mcc,auc
0,bcel,0.1429,0.0667,0.0909,0.0672,0.5233
1,codec,0.6667,0.0455,0.0851,0.1505,0.521
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.0,0.0,0.0,0.0,0.5
4,dbcp,0.0,0.0,0.0,0.0,0.5
5,digester,0.0,0.0,0.0,0.0,0.5
6,fileupload,0.75,0.125,0.2143,0.286,0.5606
7,mavendp,0.0,0.0,0.0,0.0,0.5
8,net,0.0,0.0,0.0,0.0,0.5
9,pool,0.7424,0.5444,0.6282,0.61,0.7641
