,projects,precision,recall,f1,mcc,auc
0,bcel,0.3333,0.2667,0.2963,0.2668,0.6199
1,codec,0.7692,0.2273,0.3509,0.3792,0.6084
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.6667,0.0714,0.129,0.2142,0.5354
4,dbcp,1.0,0.2222,0.3636,0.4506,0.6111
5,digester,1.0,0.0667,0.125,0.2526,0.5333
6,fileupload,0.5,0.1667,0.25,0.2543,0.5756
7,mavendp,0.0,0.0,0.0,-0.0104,0.4978
8,net,0.6667,0.1429,0.2353,0.2976,0.57
9,pool,0.6901,0.5444,0.6087,0.5842,0.7618
