,projects,precision,recall,f1,mcc,auc
0,bcel,0.4211,0.5333,0.4706,0.4441,0.7482
1,codec,0.8,0.2727,0.4068,0.4283,0.6312
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.0,0.0,0.0,0.0,0.5
4,dbcp,1.0,0.4444,0.6154,0.6452,0.7222
5,digester,0.0,0.0,0.0,0.0,0.5
6,fileupload,0.5,0.2083,0.2941,0.2854,0.5946
7,mavendp,1.0,0.1818,0.3077,0.4222,0.5909
8,net,0.6667,0.1429,0.2353,0.2976,0.57
9,pool,0.6447,0.5444,0.5904,0.5608,0.7594
