,projects,precision,recall,f1,mcc,auc
0,bcel,0.0,0.0,0.0,-0.018,0.4966
1,codec,0.9091,0.2273,0.3636,0.4241,0.6119
2,collections,0.0,0.0,0.0,0.0,0.5
3,configuration,0.5,0.0357,0.0667,0.1298,0.5175
4,dbcp,0.0,0.0,0.0,0.0,0.5
5,digester,0.0,0.0,0.0,0.0,0.5
6,fileupload,0.0,0.0,0.0,0.0,0.5
7,mavendp,0.0,0.0,0.0,0.0,0.5
8,net,0.0,0.0,0.0,0.0,0.5
9,pool,0.6667,0.6,0.6316,0.6028,0.7872
